frm,to,wt
1,2,0
1,3,0
2,3,0
1,4,0
2,4,0
3,4,0
1,5,0
2,5,0
3,5,0
4,5,0
4,6,0
3,6,0
5,6,0
2,6,0
1,7,0
2,7,0
3,7,0
5,7,0
5,8,0
1,8,0
4,8,0
3,8,0
1,9,0
7,9,0
8,9,0
5,9,0
4,10,0
1,10,0
7,10,0
2,10,0
10,11,0
1,11,0
4,11,0
2,11,0
1,12,0
2,12,0
6,12,0
3,12,0
5,13,0
2,13,0
11,13,0
1,13,0
12,14,0
5,14,0
10,14,0
13,14,0
3,15,0
13,15,0
1,15,0
8,15,0
1,16,0
10,16,0
8,16,0
4,16,0
13,17,0
4,17,0
7,17,0
9,17,0
2,18,0
1,18,0
10,18,0
13,18,0
11,19,0
5,19,0
1,19,0
3,19,0
1,20,0
17,20,0
2,20,0
8,20,0
11,21,0
1,21,0
2,21,0
3,21,0
11,22,0
19,22,0
6,22,0
3,22,0
15,23,0
10,23,0
5,23,0
19,23,0
17,24,0
8,24,0
2,24,0
10,24,0
24,25,0
18,25,0
11,25,0
14,25,0
11,26,0
23,26,0
2,26,0
6,26,0
13,27,0
11,27,0
1,27,0
19,27,0
19,28,0
26,28,0
4,28,0
5,28,0
2,29,0
9,29,0
1,29,0
15,29,0
7,30,0
5,30,0
19,30,0
11,30,0
26,31,0
2,31,0
10,31,0
19,31,0
2,32,0
23,32,0
7,32,0
17,32,0
10,33,0
21,33,0
22,33,0
8,33,0
21,34,0
30,34,0
5,34,0
32,34,0
11,35,0
34,35,0
7,35,0
16,35,0
3,36,0
2,36,0
22,36,0
31,36,0
18,37,0
2,37,0
11,37,0
32,37,0
4,38,0
5,38,0
10,38,0
37,38,0
1,39,0
4,39,0
11,39,0
33,39,0
1,40,0
12,40,0
19,40,0
11,40,0
6,41,0
1,41,0
5,41,0
40,41,0
11,42,0
33,42,0
7,42,0
32,42,0
37,43,0
33,43,0
23,43,0
17,43,0
36,44,0
7,44,0
1,44,0
12,44,0
15,45,0
35,45,0
12,45,0
28,45,0
1,46,0
19,46,0
27,46,0
2,46,0
11,47,0
1,47,0
20,47,0
29,47,0
14,48,0
20,48,0
22,48,0
8,48,0
3,49,0
32,49,0
10,49,0
30,49,0
30,50,0
32,50,0
41,50,0
13,50,0
43,51,0
21,51,0
28,51,0
2,51,0
17,52,0
31,52,0
22,52,0
13,52,0
33,53,0
11,53,0
8,53,0
25,53,0
18,54,0
46,54,0
32,54,0
39,54,0
5,55,0
19,55,0
32,55,0
50,55,0
29,56,0
19,56,0
7,56,0
21,56,0
5,57,0
2,57,0
49,57,0
50,57,0
5,58,0
30,58,0
2,58,0
32,58,0
30,59,0
19,59,0
24,59,0
2,59,0
40,60,0
58,60,0
43,60,0
45,60,0
33,61,0
11,61,0
57,61,0
2,61,0
18,62,0
13,62,0
10,62,0
61,62,0
36,63,0
4,63,0
19,63,0
1,63,0
15,64,0
4,64,0
33,64,0
17,64,0
1,65,0
2,65,0
11,65,0
26,65,0
54,66,0
31,66,0
1,66,0
8,66,0
32,67,0
63,67,0
24,67,0
11,67,0
24,68,0
32,68,0
23,68,0
25,68,0
5,69,0
24,69,0
13,69,0
1,69,0
14,70,0
33,70,0
2,70,0
11,70,0
5,71,0
48,71,0
60,71,0
23,71,0
44,72,0
14,72,0
27,72,0
43,72,0
59,73,0
11,73,0
21,73,0
1,73,0
7,74,0
8,74,0
12,74,0
37,74,0
49,75,0
38,75,0
67,75,0
32,75,0
11,76,0
33,76,0
23,76,0
74,76,0
68,77,0
22,77,0
59,77,0
8,77,0
19,78,0
9,78,0
44,78,0
11,78,0
66,79,0
56,79,0
2,79,0
28,79,0
12,80,0
14,80,0
1,80,0
11,80,0
6,81,0
7,81,0
23,81,0
74,81,0
71,82,0
30,82,0
11,82,0
59,82,0
11,83,0
70,83,0
6,83,0
14,83,0
54,84,0
40,84,0
8,84,0
35,84,0
46,85,0
5,85,0
32,85,0
57,85,0
4,86,0
7,86,0
17,86,0
42,86,0
70,87,0
83,87,0
9,87,0
4,87,0
85,88,0
48,88,0
11,88,0
1,88,0
14,89,0
45,89,0
21,89,0
67,89,0
11,90,0
10,90,0
27,90,0
44,90,0
32,91,0
5,91,0
52,91,0
10,91,0
27,92,0
69,92,0
1,92,0
6,92,0
5,93,0
2,93,0
29,93,0
25,93,0
63,94,0
15,94,0
17,94,0
53,94,0
15,95,0
21,95,0
13,95,0
71,95,0
89,96,0
83,96,0
11,96,0
15,96,0
4,97,0
49,97,0
14,97,0
25,97,0
15,98,0
4,98,0
68,98,0
77,98,0
40,99,0
3,99,0
30,99,0
1,99,0
29,100,0
24,100,0
32,100,0
33,100,0
6,101,0
7,101,0
1,101,0
46,101,0
36,102,0
23,102,0
64,102,0
17,102,0
39,103,0
101,103,0
59,103,0
17,103,0
96,104,0
100,104,0
56,104,0
37,104,0
29,105,0
57,105,0
60,105,0
2,105,0
99,106,0
54,106,0
9,106,0
7,106,0
27,107,0
2,107,0
3,107,0
10,107,0
45,108,0
49,108,0
105,108,0
65,108,0
11,109,0
13,109,0
16,109,0
43,109,0
19,110,0
1,110,0
14,110,0
3,110,0
32,111,0
71,111,0
1,111,0
18,111,0
77,112,0
32,112,0
5,112,0
64,112,0
4,113,0
75,113,0
82,113,0
26,113,0
112,114,0
2,114,0
62,114,0
95,114,0
14,115,0
9,115,0
67,115,0
3,115,0
62,116,0
2,116,0
60,116,0
7,116,0
73,117,0
35,117,0
17,117,0
62,117,0
11,118,0
1,118,0
5,118,0
55,118,0
13,119,0
11,119,0
40,119,0
3,119,0
8,120,0
1,120,0
70,120,0
6,120,0
34,121,0
51,121,0
17,121,0
81,121,0
11,122,0
3,122,0
26,122,0
52,122,0
19,123,0
11,123,0
94,123,0
2,123,0
23,124,0
1,124,0
97,124,0
114,124,0
49,125,0
124,125,0
3,125,0
32,125,0
13,126,0
100,126,0
1,126,0
91,126,0
68,127,0
32,127,0
59,127,0
103,127,0
46,128,0
76,128,0
11,128,0
122,128,0
102,129,0
80,129,0
10,129,0
120,129,0
33,130,0
13,130,0
60,130,0
78,130,0
21,131,0
60,131,0
53,131,0
42,131,0
8,132,0
3,132,0
67,132,0
105,132,0
45,133,0
83,133,0
17,133,0
33,133,0
64,134,0
41,134,0
5,134,0
59,134,0
99,135,0
106,135,0
1,135,0
91,135,0
16,136,0
107,136,0
105,136,0
128,136,0
27,137,0
81,137,0
1,137,0
40,137,0
66,138,0
6,138,0
16,138,0
47,138,0
67,139,0
79,139,0
11,139,0
82,139,0
39,140,0
38,140,0
78,140,0
9,140,0
27,141,0
5,141,0
8,141,0
16,141,0
11,142,0
2,142,0
109,142,0
29,142,0
122,143,0
48,143,0
87,143,0
1,143,0
91,144,0
139,144,0
38,144,0
37,144,0
125,145,0
3,145,0
20,145,0
46,145,0
117,146,0
60,146,0
19,146,0
2,146,0
64,147,0
11,147,0
5,147,0
134,147,0
119,148,0
37,148,0
77,148,0
39,148,0
117,149,0
7,149,0
97,149,0
99,149,0
1,150,0
5,150,0
92,150,0
11,150,0
80,151,0
11,151,0
24,151,0
2,151,0
23,152,0
1,152,0
5,152,0
27,152,0
152,153,0
14,153,0
34,153,0
6,153,0
1,154,0
65,154,0
142,154,0
67,154,0
39,155,0
75,155,0
13,155,0
4,155,0
77,156,0
121,156,0
100,156,0
11,156,0
25,157,0
46,157,0
106,157,0
102,157,0
118,158,0
11,158,0
12,158,0
2,158,0
14,159,0
119,159,0
23,159,0
15,159,0
133,160,0
39,160,0
129,160,0
27,160,0
10,161,0
70,161,0
14,161,0
126,161,0
1,162,0
35,162,0
10,162,0
7,162,0
8,163,0
72,163,0
71,163,0
1,163,0
58,164,0
64,164,0
24,164,0
139,164,0
10,165,0
5,165,0
25,165,0
3,165,0
45,166,0
70,166,0
163,166,0
148,166,0
84,167,0
27,167,0
93,167,0
11,167,0
133,168,0
13,168,0
32,168,0
3,168,0
1,169,0
116,169,0
28,169,0
3,169,0
30,170,0
165,170,0
85,170,0
71,170,0
35,171,0
46,171,0
30,171,0
18,171,0
147,172,0
53,172,0
5,172,0
58,172,0
125,173,0
11,173,0
119,173,0
42,173,0
91,174,0
30,174,0
21,174,0
19,174,0
13,175,0
5,175,0
17,175,0
16,175,0
52,176,0
32,176,0
128,176,0
172,176,0
164,177,0
13,177,0
38,177,0
113,177,0
128,178,0
62,178,0
119,178,0
1,178,0
2,179,0
1,179,0
28,179,0
111,179,0
69,180,0
99,180,0
63,180,0
132,180,0
143,181,0
76,181,0
46,181,0
12,181,0
11,182,0
1,182,0
33,182,0
12,182,0
25,183,0
82,183,0
150,183,0
36,183,0
109,184,0
2,184,0
136,184,0
122,184,0
44,185,0
7,185,0
50,185,0
46,185,0
56,186,0
170,186,0
15,186,0
36,186,0
1,187,0
181,187,0
10,187,0
62,187,0
15,188,0
64,188,0
81,188,0
163,188,0
150,189,0
171,189,0
39,189,0
173,189,0
88,190,0
110,190,0
128,190,0
18,190,0
14,191,0
100,191,0
76,191,0
164,191,0
162,192,0
76,192,0
23,192,0
32,192,0
191,193,0
2,193,0
13,193,0
135,193,0
192,194,0
28,194,0
10,194,0
4,194,0
162,195,0
4,195,0
54,195,0
138,195,0
8,196,0
14,196,0
32,196,0
193,196,0
85,197,0
2,197,0
29,197,0
25,197,0
10,198,0
2,198,0
35,198,0
1,198,0
138,199,0
136,199,0
65,199,0
150,199,0
143,200,0
194,200,0
14,200,0
189,200,0
