frm,to,wt
735,24724,0
735,53100,0
735,74008,0
735,113344,0
735,261087,0
735,278926,0
735,297114,0
735,324678,0
735,385938,0
1117,8787,0
1117,178348,0
1117,182164,0
1117,213985,0
1117,237550,0
1117,257517,0
1117,281499,0
1117,322329,0
1117,363390,0
1267,87159,0
1267,212811,0
1267,288249,0
1267,299681,0
1267,396028,0
1267,412679,0
1558,36712,0
1558,52795,0
1558,53760,0
1558,66513,0
1558,86669,0
1558,199326,0
1558,204618,0
1558,236464,0
1558,252404,0
1558,267670,0
1558,290127,0
1558,341644,0
2209,49547,0
2209,128574,0
2209,151130,0
2209,179383,0
2209,236474,0
2209,306247,0
2209,329985,0
2209,348496,0
2209,349721,0
2209,377293,0
2269,103990,0
2269,104362,0
2269,138819,0
2269,146679,0
2269,152331,0
2269,188397,0
2269,226374,0
2269,339369,0
2269,378887,0
2479,15415,0
2479,20188,0
2479,85846,0
2479,194357,0
2479,212081,0
2479,218362,0
2479,260970,0
2479,264093,0
2479,310863,0
2479,327120,0
2759,9199,0
2759,62082,0
2759,191269,0
2759,196876,0
2759,205827,0
2759,221472,0
2759,280806,0
2759,282133,0
2759,304261,0
3541,32816,0
3541,76626,0
3541,141649,0
3541,206270,0
3541,222473,0
3541,232132,0
3541,239295,0
3541,369714,0
3541,379932,0
3541,402571,0
3602,8787,0
3602,31716,0
3602,56684,0
3602,97371,0
3602,257517,0
3602,316378,0
3840,17936,0
3840,49796,0
3840,66078,0
3840,156440,0
3840,237620,0
3840,345895,0
3840,389190,0
4693,10755,0
4693,62111,0
4693,70494,0
4693,75281,0
4693,109488,0
4693,149468,0
4693,190639,0
4693,208934,0
4693,361092,0
4791,10620,0
4791,82338,0
4791,102609,0
4791,112234,0
4791,130091,0
4791,151130,0
4791,166952,0
4791,229393,0
4791,236474,0
4791,271274,0
4791,306247,0
4791,371724,0
4791,377293,0
5735,20399,0
5735,76626,0
5735,160723,0
5735,222473,0
5735,243486,0
5735,326937,0
5735,369714,0
5735,393721,0
5735,402571,0
5735,418136,0
8787,1117,0
8787,3602,0
8787,22945,0
8787,31716,0
8787,56684,0
8787,160187,0
8787,178348,0
8787,182164,0
8787,316378,0
8787,363390,0
8787,397483,0
9199,2759,0
9199,62082,0
9199,181377,0
9199,191269,0
9199,221472,0
9199,282133,0
9199,358467,0
9199,397367,0
10620,4791,0
10620,82338,0
10620,102609,0
10620,113062,0
10620,130091,0
10620,166952,0
10620,229393,0
10620,231345,0
10620,262971,0
10620,271274,0
10620,287113,0
10755,4693,0
10755,57064,0
10755,62111,0
10755,70494,0
10755,75281,0
10755,109488,0
10755,149468,0
10755,190639,0
10755,229402,0
10755,302725,0
10755,361092,0
10755,364121,0
10787,42985,0
10787,54919,0
10787,128554,0
10787,234585,0
10787,296205,0
10787,319678,0
10787,326133,0
10787,377059,0
10787,424431,0
10787,425051,0
12442,17220,0
12442,63460,0
12442,98287,0
12442,155251,0
12442,160907,0
12442,218483,0
12442,235592,0
12442,313830,0
12442,373015,0
12442,377372,0
15415,2479,0
15415,20188,0
15415,85846,0
15415,132495,0
15415,211688,0
15415,214289,0
15415,218362,0
15415,260970,0
15415,333186,0
15415,394101,0
16236,27473,0
16236,32816,0
16236,45432,0
16236,141649,0
16236,152631,0
16236,206270,0
16236,263250,0
16236,351795,0
17220,12442,0
17220,20399,0
17220,127682,0
17220,155251,0
17220,218483,0
17220,243486,0
17220,261498,0
17220,326937,0
17220,373015,0
17220,377372,0
17936,3840,0
17936,33125,0
17936,49796,0
17936,66078,0
17936,136845,0
17936,407255,0
19622,75068,0
19622,145453,0
19622,207751,0
19622,221472,0
19622,256006,0
19622,260995,0
19622,301123,0
19622,337815,0
19622,412942,0
19758,63460,0
19758,160907,0
19758,218483,0
19758,225449,0
19758,232034,0
19758,233344,0
19758,235592,0
19758,246647,0
19758,260895,0
19758,313830,0
19758,361748,0
19758,377372,0
19822,33683,0
19822,60033,0
19822,97343,0
19822,101400,0
19822,107311,0
19822,131552,0
19822,169425,0
19822,174540,0
19822,256551,0
19822,327697,0
19822,437053,0
20188,2479,0
20188,15415,0
20188,85846,0
