ID,x_coord,y_coord
49132905,6282547.74066976,1915352.67606432
49252605,6282955.38015302,1914552.63104728
49252607,6282967.93793315,1915465.81252134
49364293,6282994.47424588,1913931.9077504
49364294,6282967.65465378,1914094.42328749
49400949,6281275.42579461,1914413.03164045
49400950,6281294.4130156,1914443.42958577
49400953,6281349.45496899,1914595.76896178
49400955,6281359.46529607,1914652.44358699
49400957,6281377.249888,1914825.84950803
49400962,6281431.85521295,1914893.41322262
49400964,6281481.06291744,1914905.35355492
49400966,6281996.03065907,1914905.21452552
49400967,6282265.48565069,1914905.40744136
49400959,6281403.44141587,1914872.92201491
49497750,6282445.97505768,1914557.80009757
49497752,6282699.14322181,1914555.22793636
49497754,6283210.6809137,1914583.5195568
49497756,6283459.05278382,1914594.09413789
49497748,6282262.46738622,1914559.76588621
49529190,6280850.12564016,1914000.50436403
49564556,6283576.72590585,1913585.17675321
49564557,6283554.81315358,1913747.64911946
49564558,6283541.3986531,1913828.54281544
49564560,6283502.76926431,1913974.42293592
49564562,6283482.75865547,1914073.20318381
49564563,6283465.24746016,1914212.35026583
49564569,6283471.75120376,1915525.10364813
49585625,6280890.51475458,1913776.73922591
49585628,6280832.30650037,1914103.26957987
49585633,6280766.34655624,1914595.42491278
49591016,6281979.45897993,1914062.65735131
49591018,6281963.30097139,1914110.10051927
49591020,6281931.04705375,1914176.96904368
49591025,6281805.69530251,1914301.77792631
49591027,6281712.47351779,1914345.52903
49591029,6281630.67126725,1914361.52702451
49591031,6281382.76309739,1914369.15560413
49591032,6281342.96801294,1914380.7839179
49635825,6282970.56082372,1915485.07430317
49635827,6282982.380162,1915503.16439908
49635829,6283003.66160445,1915515.35031351
49672360,6283279.78931499,1913637.60774367
49672362,6283296.45912925,1913648.7424009
49672363,6283308.26628184,1913665.37728102
49672366,6283310.59487374,1913686.09709041
49672370,6283218.4949419,1914106.0661168
49692747,6282265.04499482,1915136.09914413
49723543,6282271.1358878,1914216.93317892
49723545,6282261.96263131,1914255.94640188
49723548,6282265.30470696,1915415.36017738
49723551,6282285.41321403,1915507.56888985
49731101,6281401.44640459,1914645.16247496
49731103,6281947.09297141,1914643.29854067
49731105,6281967.99535585,1914647.11828482
49731106,6281991.79634513,1914666.55872852
49739155,6282820.79515327,1913899.94564545
49133429,6282600.58190235,1914162.75376793
49266939,6283460.81486361,1914796.74930469
49307573,6281070.2628162,1914255.45902862
49591023,6281854.78429369,1914264.96250574
49672368,6283227.18206149,1914046.31734158
49056173,6283711.50404732,1914791.65966635
49056174,6283719.99240238,1915521.49075476
49072641,6281884.89789517,1914234.13485366
49072642,6281988.84829174,1914329.28536985
49115042,6283069.26747197,1913639.44004126
49115043,6283261.05994515,1913636.67911797
49121400,6283756.67240675,1914338.62447161
49307568,6280829.11799096,1914264.48802512
49307570,6280934.49815805,1914277.38999039
49307572,6280997.68929412,1914273.92473909
49307574,6281158.8425634,1914207.38041165
49529420,6280768.11291301,1914796.62459788
49573569,6283216.67352205,1915518.95371951
596262056,6282043.98362955,1913720.06410718
49047271,6281659.45072038,1913897.71624613
49132901,6282524.97239176,1915134.92198482
49132902,6282526.4388689,1915303.01295015
49133416,6281582.26010863,1913914.76558072
49133417,6281734.25639358,1913888.69290507
49133418,6281797.47382941,1913888.13989846
49133420,6282015.56586591,1913909.88401755
49133422,6282060.17164415,1913921.86547126
49133423,6282292.62879374,1914007.16161159
49133425,6282356.12548382,1914038.62702993
49133427,6282471.45392196,1914101.29616331
49133431,6282769.98328201,1914232.22962573
49133433,6282953.04442229,1914284.48592422
49133435,6283075.11850144,1914311.44009343
49133437,6283208.48347277,1914331.01924603
49133439,6283278.83100203,1914338.77590757
49133440,6283461.4699386,1914342.64528588
49115041,6282497.59468236,1913660.75999403
1217872551,6282329.12460553,1913821.41945067
1217872556,6282451.72584056,1913817.07462009
1217872559,6282390.47522159,1913635.09653249
1217872568,6282364.03709989,1913626.52186396
1217872571,6282437.46756491,1913786.88943053
1217872575,6282279.46636479,1913793.18076812
1217872577,6282540.46593459,1913649.79762931
1217872579,6282442.25364762,1913674.1599413
1217872581,6282405.33915731,1913783.89507258
1217872582,6282441.42960227,1913769.64423437
1217872589,6282386.24735896,1913766.05059007
1217872593,6282405.96240483,1913714.64690162
1217872595,6282433.71211187,1913732.85247227
1217872597,6282393.37349468,1913731.56714969
1217872599,6282447.48504413,1913802.37525973
1217872600,6282396.94556395,1913669.64323181
1217872601,6282234.00813495,1913771.45497959
1217872602,6282309.97826233,1913611.02029094
1217872609,6282385.51150654,1913776.6817515
1217872611,6282400.84577809,1913785.97191078
1217872614,6282390.45291735,1913727.48101241
1217872615,6282209.29715302,1913770.87029679
1217872616,6282418.82524153,1913725.59601365
1217872617,6282432.46854417,1913685.306704
1217872620,6282394.4780656,1913647.1417777
1217872628,6282396.62531917,1913657.56584468
1217872630,6282441.22227432,1913745.88592631
1217872632,6282399.30064721,1913679.26499105
1217872633,6282405.1930448,1913696.82443172
1217872634,6282351.43587675,1913831.88580445
1217872635,6282412.53179895,1913711.3148188
1217872636,6282477.20821776,1913811.10326266
1217872637,6282173.93496491,1913773.6170309
1217872638,6282379.6403893,1913761.55999673
1217872648,6282454.16662516,1913671.21786994
1217872650,6282405.65999011,1913725.71091266
1217872651,6282482.8469038,1913799.59244461
1217872652,6282445.64183092,1913781.06909506
1217872653,6282106.66653306,1913798.80168479
1217872656,6282382.6845808,1913734.09831283
1217872666,6282467.8621881,1913777.60045051
1217872667,6282412.87302218,1913796.12781917
1217872668,6282400.41793981,1913596.29495242
1217872669,6282421.30122267,1913706.87195454
1217872671,6282370.34885734,1913829.2464573
1217872673,6282439.03169774,1913776.21465625
1217872675,6282397.32735574,1913618.4446697
1217872678,6282464.8983563,1913817.7965564
1217872685,6282067.87745283,1913883.51996299
1217872689,6282396.18611651,1913772.5133399
1217872691,6282453.0185246,1913775.29210755
1217872692,6282420.1615463,1913783.76571099
1217872694,6282382.04209365,1913755.42617024
1217872696,6282089.40832047,1913804.66509154
1217872701,6282478.39788361,1913666.05792597
1217872703,6282481.92044242,1913784.86416157
1217872705,6282152.62412116,1913782.82693748
1217872710,6282124.75093389,1913796.1694318
1217872712,6282384.40621062,1913741.46966239
1217872714,6282379.88912506,1913744.3472044
1217880501,6282104.47889476,1913808.353955
1217880502,6282689.57869196,1913982.70342753
1217880509,6282673.26132063,1913920.47994347
1217880512,6282102.91367655,1913797.81566313
1217880518,6282136.0609128,1913787.44712046
1217880529,6282711.58800993,1914011.36570776
769608979,6282702.66485178,1913779.91882004
1217872687,6282460.11400918,1913656.39322023
769608970,6282686.26763276,1914053.50324003
769608988,6282466.99569798,1913632.57305494
769608976,6282709.57469425,1913819.15555351
