ID,x_coord,y_coord
735,6282598,1915313
1117,6282030,1914424
1267,6283047,1915462
1558,6283131,1914407
2209,6283288,1914709
2269,6283560,1914182
2479,6281036,1913864
2759,6282887,1914140
3541,6281168,1914381
3602,6281990,1914245
3840,6282188,1915312
4693,6283395,1914117
4791,6283136,1914862
5735,6281257,1914567
8787,6282084,1914314
9199,6282898,1914037
10620,6283040,1914991
10755,6283292,1914163
10787,6282754,1914868
12442,6281530,1914830
15415,6281015,1914025
16236,6281261,1914239
17220,6281424,1914725
17936,6282188,1915163
19622,6282930,1913863
19758,6281685,1914724
19822,6282345,1914775
20188,6281050,1913967
20399,6281284,1914720
20416,6283291,1914976
21550,6282755,1914471
21874,6282714,1914292
22313,6281015,1914448
22945,6282194,1914199
24724,6282697,1915288
26166,6280982,1914356
27473,6281399,1914292
29561,6280945,1914632
31004,6282844,1914638
31716,6282027,1914201
32613,6281676,1914157
32816,6281154,1914314
33125,6282187,1915062
33563,6282080,1914053
33683,6282347,1914931
34184,6282595,1914482
35001,6280910,1914944
35417,6281649,1914450
35592,6282185,1914486
36712,6283132,1914503
38850,6282507,1914036
40346,6282318,1913942
41062,6282540,1914487
42594,6283386,1913688
42985,6282707,1914916
43379,6281536,1914454
44910,6283153,1914035
45395,6282521,1914716
45432,6281215,1914154
45865,6281816,1914405
46977,6283141,1915294
48255,6283545,1915079
48571,6281898,1914060
48812,6281783,1913969
49547,6283385,1914713
49796,6282188,1915213
50342,6283545,1914526
52049,6283529,1914724
52795,6283133,1914261
53100,6282633,1915214
53760,6283289,1914420
54919,6282720,1914716
56080,6283684,1914624
56684,6282063,1914153
56860,6281002,1913637
57064,6283383,1914285
57709,6282649,1914478
59232,6283387,1914871
59499,6282381,1915450
60033,6282345,1914720
61903,6282268,1913923
61965,6282207,1914150
62082,6282892,1914088
62111,6283313,1914006
62130,6283101,1913812
62160,6283643,1913713
62889,6282714,1913728
63335,6282096,1914989
63434,6282347,1914983
63460,6281584,1914830
66078,6282188,1915263
66513,6283024,1914487
68285,6283543,1914913
70494,6283386,1914225
71431,6280907,1914454
72071,6282821,1913726
72213,6281928,1913777
74008,6282494,1915385
75068,6282874,1913725
75281,6283289,1914220
75455,6283389,1914981
76626,6281134,1914479
79327,6283293,1915135
79490,6283722,1913707
79961,6282879,1915501
81357,6283647,1914568
82338,6283138,1915026
83009,6282183,1915536
83621,6282763,1915050
84414,6282640,1914736
84447,6282353,1915345
85691,6282217,1913904
85846,6280937,1913964
86669,6283024,1914387
87159,6283142,1915401
87836,6282767,1913727
89090,6282408,1915513
89538,6282580,1914906
89976,6282900,1914634
92131,6283362,1913800
92504,6280785,1914732
93254,6283647,1915466
93323,6283035,1914245
93774,6283554,1914406
93933,6282921,1914369
95209,6282871,1915071
97343,6282346,1914882
97371,6281862,1914158
97479,6282080,1914849
98287,6281564,1914988
100291,6281460,1914984
100402,6282661,1913729
101400,6282187,1914784
102059,6281979,1913835
102609,6283038,1914834
103973,6281777,1914041
103990,6283673,1914123
104362,6283566,1914078
105100,6282450,1914925
107311,6282321,1914645
107478,6282728,1913924
108596,6283542,1914855
108654,6281808,1914559
109488,6283403,1914061
109611,6283200,1913817
111084,6283392,1915194
112234,6283037,1914782
113062,6283041,1915093
113344,6282451,1915299
114518,6283699,1913965
116316,6282345,1915244
117947,6282344,1914299
122406,6282368,1913964
126392,6283642,1915132
127682,6281457,1914566
127935,6281939,1913985
128328,6283551,1915467
128554,6282716,1915003
128574,6283386,1914766
129332,6281481,1914454
129531,6283644,1914708
130091,6283038,1914887
131469,6282081,1914001
131552,6282377,1914644
132063,6283438,1913902
132495,6280928,1914015
134370,6282613,1914382
136173,6282347,1915034
136226,6281296,1914835
136475,6282967,1914480
136845,6282187,1915113
138819,6283530,1914267
138856,6283163,1913977
139693,6281507,1914566
140513,6282638,1914333
141434,6281127,1913651
141649,6281287,1914287
142250,6283451,1913852
143026,6281583,1913779
143573,6282449,1914294
145453,6282778,1913804
146679,6283674,1914182
148722,6282635,1914641
149113,6282104,1913868
149468,6283297,1914112
151130,6283289,1914814
151336,6281609,1914566
151655,6282582,1914642
151775,6282873,1915224
152331,6283699,1914266
152631,6281325,1914173
152708,6282602,1914084
155251,6281456,1914830
155619,6282363,1915389
156440,6282191,1915411
157326,6282074,1914102
159614,6283393,1915247
160187,6282185,1914319
160302,6282151,1914989
160723,6281270,1914616
160907,6281686,1914830
164412,6282041,1914989
166671,6282383,1914489
166780,6281886,1914111
166952,6283137,1914971
168120,6282448,1915192
169022,6283602,1913924
169425,6282467,1914754
169933,6283750,1914720
170819,6281767,1914088
171062,6281709,1914443
172870,6283294,1915190
172957,6283146,1914086
174540,6282428,1914643
176825,6283640,1915023
178348,6282185,1914432
179173,6282265,1914093
179383,6283384,1914654
179394,6283546,1914466
179540,6283591,1914712
179956,6282353,1914238
180710,6280775,1913932
181329,6283642,1915187
181377,6282749,1914021
182164,6282185,1914378
185195,6283292,1915082
185825,6282032,1913844
187423,6282876,1915434
188397,6283644,1914266
188661,6282871,1915123
189436,6283550,1915406
190189,6281763,1913774
190639,6283304,1914059
191012,6281647,1913783
191269,6282803,1914166
192605,6282609,1913730
192747,6281423,1914455
193265,6280954,1914207
194357,6280955,1913857
194592,6281910,1914988
194685,6283663,1914463
195897,6283545,1915024
196876,6282882,1914205
197578,6283294,1915243
199326,6283077,1914398
200540,6281161,1913712
200583,6283483,1913692
201306,6281393,1914975
202348,6283661,1913599
202377,6283140,1915240
202900,6282165,1914046
204363,6281760,1914561
204618,6283079,1914494
204860,6283133,1913689
205827,6283039,1914178
206270,6281323,1914328
207751,6283087,1913863
207995,6282186,1914592
208934,6283413,1914007
209635,6282185,1914540
209789,6280851,1914448
210228,6282079,1914733
211138,6283292,1915029
211688,6281074,1914176
212081,6281185,1913874
212809,6282652,1914106
212811,6283045,1915353
213985,6282093,1914574
214289,6280919,1914068
215183,6282341,1914357
216756,6281838,1914829
218362,6280946,1913910
218483,6281582,1914725
218952,6283396,1915467
219581,6282450,1915033
219757,6283641,1915078
221472,6282905,1913979
222473,6281242,1914520
223309,6283043,1915197
223984,6283628,1913821
225449,6281711,1914562
226374,6283593,1914267
229393,6283137,1914917
229402,6283140,1914140
229704,6283388,1914926
229900,6281719,1914988
230639,6283043,1915249
231345,6283138,1915078
232034,6281787,1914724
232132,6281043,1914348
233344,6281737,1914830
233595,6281728,1913969
234460,6280927,1914825
234585,6282869,1914913
234784,6283646,1914511
235592,6281634,1914724
236464,6283186,1914511
236474,6283290,1914867
237395,6283139,1915131
237550,6282044,1914520
237620,6282189,1915361
238546,6282702,1914474
239178,6282504,1915458
239295,6281100,1914333
239917,6280823,1914600
240801,6282436,1914470
240844,6283673,1914402
241104,6283349,1913851
241208,6283134,1914638
243486,6281400,1914567
243749,6281858,1914557
246000,6282872,1915174
246647,6281838,1914724
246907,6283376,1913614
247732,6283390,1915035
248151,6281310,1914871
248988,6282489,1914487
251633,6281820,1913774
251704,6281726,1914265
252241,6281766,1914432
252404,6282973,1914378
254001,6281827,1914201
255954,6283291,1914922
256006,6283075,1913914
256368,6282875,1915382
256551,6282442,1914797
256818,6281783,1914239
257517,6281911,1914343
257645,6281520,1913777
259748,6283298,1915465
260422,6283343,1914422
260895,6281660,1914564
260970,6281147,1913969
260995,6282928,1913724
261087,6282710,1915205
261498,6281290,1914775
262971,6283041,1915043
263250,6281206,1914084
264093,6280964,1913805
264321,6283549,1915297
264868,6283544,1914969
266390,6280924,1914356
267670,6283185,1914414
268053,6282757,1914343
269916,6281864,1914373
270511,6282545,1915490
270962,6281942,1914724
271274,6283039,1914938
271715,6280819,1914681
272036,6282399,1914138
273276,6282873,1915277
273857,6282415,1913988
278926,6282579,1915215
279324,6283391,1915139
279871,6283395,1915408
280806,6283043,1914122
281168,6282699,1914126
281499,6281961,1914552
282061,6283643,1915242
282133,6282815,1914038
282434,6283336,1913901
282944,6282511,1914219
286261,6283394,1915355
287113,6283042,1915144
288010,6282585,1914736
288249,6283045,1915405
289600,6283375,1913747
290127,6283241,1914517
293862,6282813,1914348
294355,6281557,1914566
294733,6281889,1914724
296205,6282867,1914807
297114,6282753,1915332
297259,6283036,1914679
297878,6282454,1914345
299662,6281887,1913978
299681,6283044,1915301
300795,6281462,1913777
301123,6282986,1913723
302430,6283616,1913869
302725,6283286,1914281
304261,6282749,1914144
304367,6282212,1914070
305103,6283553,1914643
305908,6281988,1914989
306247,6283135,1914701
306651,6283035,1914620
308323,6282454,1914199
308629,6281017,1914199
310863,6281106,1913884
311474,6282186,1914658
312763,6281834,1913970
313830,6281635,1914830
314421,6282866,1914701
314796,6282164,1913880
315175,6283297,1915404
316378,6282093,1914237
318617,6283645,1915350
319297,6283390,1915087
319410,6281890,1914829
319678,6282867,1914753
320493,6282552,1913731
322329,6281921,1914431
323560,6281014,1914639
323643,6282461,1914011
323683,6282347,1915087
324564,6280879,1914731
324678,6282449,1915244
324900,6282188,1914847
326133,6282762,1914761
326937,6281280,1914669
327120,6281165,1913787
327697,6282445,1914868
329312,6280778,1914063
329985,6283386,1914818
333186,6281014,1914114
337011,6283402,1914520
337698,6282686,1914640
337815,6282949,1913789
338734,6282187,1914725
339369,6283575,1914024
341644,6283236,1914418
343512,6282792,1914640
343961,6281942,1914829
344722,6283661,1914034
344859,6282733,1913860
345323,6282874,1915329
345895,6282198,1915454
346944,6283588,1913971
347593,6283704,1913877
347882,6282529,1914642
348496,6283287,1914651
349721,6283289,1914761
350259,6283140,1915185
351726,6283638,1914854
351795,6281293,1914090
352093,6281592,1914453
353226,6282080,1914789
355604,6283549,1915352
358467,6283049,1914072
358494,6283644,1915296
358829,6282479,1914643
359588,6282349,1914412
361092,6283390,1914173
361220,6281874,1913775
361748,6281736,1914724
363390,6282084,1914381
364121,6283136,1914198
364585,6282079,1914657
365485,6283653,1913651
365950,6283545,1914585
366946,6281910,1914555
367017,6282870,1915018
367653,6283698,1914721
368297,6283114,1913761
369714,6281225,1914473
370077,6280868,1914354
371724,6283136,1914809
373015,6281479,1914725
373935,6283393,1915301
374125,6282450,1914980
374812,6282580,1915047
375581,6283066,1913965
376727,6283646,1915405
376796,6283174,1913923
377059,6282868,1914859
377293,6283135,1914755
377372,6281530,1914725
378887,6283563,1914130
378939,6283638,1914913
379014,6282640,1914259
379570,6281225,1914014
379834,6283213,1913763
379932,6281093,1914417
380509,6281615,1913977
380548,6283036,1914730
381124,6282866,1914359
381371,6283296,1915351
381741,6283548,1915243
382182,6281616,1914988
383383,6280961,1914455
383537,6281408,1913782
383567,6283346,1914519
385158,6282808,1914471
385938,6282460,1915338
388851,6283547,1915188
389190,6282348,1915295
392805,6283488,1913640
393446,6282375,1914189
393721,6281142,1914584
394101,6280911,1914124
394796,6283424,1913953
395803,6280848,1914954
396028,6283143,1915461
397367,6283057,1914018
397483,6282186,1914258
